state,district,category,type,date,crimes,,,,,,
Johor,All,assault,all,1/1/2016,2820,,,,,,
Johor,All,assault,all,1/1/2017,2578,,,,,,
Johor,All,assault,all,1/1/2018,1880,,,,,,
Johor,All,assault,all,1/1/2019,1923,,,,,,
Johor,All,assault,all,1/1/2020,1384,,,,,,
Johor,All,assault,all,1/1/2021,925,,,,,,
Johor,All,assault,all,1/1/2022,973,,,,,,
Johor,All,assault,all,1/1/2023,1228,,,,,,
Johor,All,property,all,1/1/2016,10121,,,,,,
Johor,All,property,all,1/1/2017,8729,,,,,,
Johor,All,property,all,1/1/2018,8458,,,,,,
Johor,All,property,all,1/1/2019,7947,,,,,,
Johor,All,property,all,1/1/2020,5966,,,,,,
Johor,All,property,all,1/1/2021,3440,,,,,,
Johor,All,property,all,1/1/2022,3489,,,,,,
Johor,All,property,all,1/1/2023,4102,,,,,,
Johor,All,total,all,1/1/2016,12941,,,,,,
Johor,All,total,all,1/1/2017,11307,,,,,,
Johor,All,total,all,1/1/2018,10338,,,,,,
Johor,All,total,all,1/1/2019,9870,,,,,,
Johor,All,total,all,1/1/2020,7350,,,,,,
Johor,All,total,all,1/1/2021,4365,,,,,,
Johor,All,total,all,1/1/2022,4462,,,,,,
Johor,All,total,all,1/1/2023,5330,,,,,,
Kedah,All,assault,all,1/1/2016,1239,,,,,,
Kedah,All,assault,all,1/1/2017,996,,,,,,
Kedah,All,assault,all,1/1/2018,989,,,,,,
Kedah,All,assault,all,1/1/2019,937,,,,,,
Kedah,All,assault,all,1/1/2020,674,,,,,,
Kedah,All,assault,all,1/1/2021,734,,,,,,
Kedah,All,assault,all,1/1/2022,893,,,,,,
Kedah,All,assault,all,1/1/2023,720,,,,,,
Kedah,All,property,all,1/1/2016,6201,,,,,,
Kedah,All,property,all,1/1/2017,5763,,,,,,
Kedah,All,property,all,1/1/2018,5232,,,,,,
Kedah,All,property,all,1/1/2019,4678,,,,,,
Kedah,All,property,all,1/1/2020,3457,,,,,,
Kedah,All,property,all,1/1/2021,3067,,,,,,
Kedah,All,property,all,1/1/2022,3758,,,,,,
Kedah,All,property,all,1/1/2023,3847,,,,,,
Kedah,All,total,all,1/1/2016,7440,,,,,,
Kedah,All,total,all,1/1/2017,6759,,,,,,
Kedah,All,total,all,1/1/2018,6221,,,,,,
Kedah,All,total,all,1/1/2019,5615,,,,,,
Kedah,All,total,all,1/1/2020,4131,,,,,,
Kedah,All,total,all,1/1/2021,3801,,,,,,
Kedah,All,total,all,1/1/2022,4651,,,,,,
Kedah,All,total,all,1/1/2023,4567,,,,,,
Kelantan,All,assault,all,1/1/2016,543,,,,,,
Kelantan,All,assault,all,1/1/2017,600,,,,,,
Kelantan,All,assault,all,1/1/2018,511,,,,,,
Kelantan,All,assault,all,1/1/2019,470,,,,,,
Kelantan,All,assault,all,1/1/2020,504,,,,,,
Kelantan,All,assault,all,1/1/2021,426,,,,,,
Kelantan,All,assault,all,1/1/2022,448,,,,,,
Kelantan,All,assault,all,1/1/2023,390,,,,,,
Kelantan,All,property,all,1/1/2016,4005,,,,,,
Kelantan,All,property,all,1/1/2017,3920,,,,,,
Kelantan,All,property,all,1/1/2018,3476,,,,,,
Kelantan,All,property,all,1/1/2019,3075,,,,,,
Kelantan,All,property,all,1/1/2020,2027,,,,,,
Kelantan,All,property,all,1/1/2021,1591,,,,,,
Kelantan,All,property,all,1/1/2022,1758,,,,,,
Kelantan,All,property,all,1/1/2023,1604,,,,,,
Kelantan,All,total,all,1/1/2016,4548,,,,,,
Kelantan,All,total,all,1/1/2017,4520,,,,,,
Kelantan,All,total,all,1/1/2018,3987,,,,,,
Kelantan,All,total,all,1/1/2019,3545,,,,,,
Kelantan,All,total,all,1/1/2020,2531,,,,,,
Kelantan,All,total,all,1/1/2021,2017,,,,,,
Kelantan,All,total,all,1/1/2022,2206,,,,,,
Kelantan,All,total,all,1/1/2023,1994,,,,,,
Melaka,All,assault,all,1/1/2016,1154,,,,,,
Melaka,All,assault,all,1/1/2017,842,,,,,,
Melaka,All,assault,all,1/1/2018,621,,,,,,
Melaka,All,assault,all,1/1/2019,460,,,,,,
Melaka,All,assault,all,1/1/2020,366,,,,,,
Melaka,All,assault,all,1/1/2021,311,,,,,,
Melaka,All,assault,all,1/1/2022,264,,,,,,
Melaka,All,assault,all,1/1/2023,310,,,,,,
Melaka,All,property,all,1/1/2016,2510,,,,,,
Melaka,All,property,all,1/1/2017,2255,,,,,,
Melaka,All,property,all,1/1/2018,2179,,,,,,
Melaka,All,property,all,1/1/2019,2101,,,,,,
Melaka,All,property,all,1/1/2020,1428,,,,,,
Melaka,All,property,all,1/1/2021,999,,,,,,
Melaka,All,property,all,1/1/2022,1033,,,,,,
Melaka,All,property,all,1/1/2023,1147,,,,,,
Melaka,All,total,all,1/1/2016,3664,,,,,,
Melaka,All,total,all,1/1/2017,3097,,,,,,
Melaka,All,total,all,1/1/2018,2800,,,,,,
Melaka,All,total,all,1/1/2019,2561,,,,,,
Melaka,All,total,all,1/1/2020,1794,,,,,,
Melaka,All,total,all,1/1/2021,1310,,,,,,
Melaka,All,total,all,1/1/2022,1297,,,,,,
Melaka,All,total,all,1/1/2023,1457,,,,,,
Negeri Sembilan,All,assault,all,1/1/2016,1084,,,,,,
Negeri Sembilan,All,assault,all,1/1/2017,884,,,,,,
Negeri Sembilan,All,assault,all,1/1/2018,831,,,,,,
Negeri Sembilan,All,assault,all,1/1/2019,778,,,,,,
Negeri Sembilan,All,assault,all,1/1/2020,525,,,,,,
Negeri Sembilan,All,assault,all,1/1/2021,434,,,,,,
Negeri Sembilan,All,assault,all,1/1/2022,380,,,,,,
Negeri Sembilan,All,assault,all,1/1/2023,417,,,,,,
Negeri Sembilan,All,property,all,1/1/2016,3390,,,,,,
Negeri Sembilan,All,property,all,1/1/2017,3089,,,,,,
Negeri Sembilan,All,property,all,1/1/2018,2842,,,,,,
Negeri Sembilan,All,property,all,1/1/2019,2549,,,,,,
