arrest_type,date,sex,age,drug_arrests
overall,2019-01-01,both,all,47952
overall,2019-01-01,male,all,1667
overall,2019-01-01,female,all,46285
supply,2019-01-01,both,all,17985
supply,2019-01-01,male,all,16318
supply,2019-01-01,female,all,1667
posses,2019-01-01,both,all,46285
posses,2019-01-01,male,all,43606
posses,2019-01-01,female,all,2679
urine_positive,2019-01-01,both,all,54967
urine_positive,2019-01-01,male,all,51562
urine_positive,2019-01-01,female,all,3405
overall,2019-01-01,both,<13,64
overall,2019-01-01,male,<13,12
overall,2019-01-01,female,<13,52
supply,2019-01-01,both,<13,23
supply,2019-01-01,male,<13,11
supply,2019-01-01,female,<13,12
posses,2019-01-01,both,<13,52
posses,2019-01-01,male,<13,41
posses,2019-01-01,female,<13,11
urine_positive,2019-01-01,both,<13,61
urine_positive,2019-01-01,male,<13,54
urine_positive,2019-01-01,female,<13,7
overall,2019-01-01,both,14-18,3890
overall,2019-01-01,male,14-18,180
overall,2019-01-01,female,14-18,3710
supply,2019-01-01,both,14-18,841
supply,2019-01-01,male,14-18,661
supply,2019-01-01,female,14-18,180
posses,2019-01-01,both,14-18,3710
posses,2019-01-01,male,14-18,3367
posses,2019-01-01,female,14-18,343
urine_positive,2019-01-01,both,14-18,3870
urine_positive,2019-01-01,male,14-18,3457
urine_positive,2019-01-01,female,14-18,413
overall,2019-01-01,both,19-24,13960
overall,2019-01-01,male,19-24,429
overall,2019-01-01,female,19-24,13531
supply,2019-01-01,both,19-24,3964
supply,2019-01-01,male,19-24,3535
supply,2019-01-01,female,19-24,429
posses,2019-01-01,both,19-24,13418
posses,2019-01-01,male,19-24,12634
posses,2019-01-01,female,19-24,784
urine_positive,2019-01-01,both,19-24,15527
urine_positive,2019-01-01,male,19-24,14460
urine_positive,2019-01-01,female,19-24,1067
overall,2019-01-01,both,25-29,17508
overall,2019-01-01,male,25-29,447
overall,2019-01-01,female,25-29,17061
supply,2019-01-01,both,25-29,4227
supply,2019-01-01,male,25-29,3780
supply,2019-01-01,female,25-29,447
posses,2019-01-01,both,25-29,11647
posses,2019-01-01,male,25-29,10927
posses,2019-01-01,female,25-29,720
urine_positive,2019-01-01,both,25-29,14912
urine_positive,2019-01-01,male,25-29,13970
urine_positive,2019-01-01,female,25-29,942
overall,2019-01-01,both,30-34,28868
overall,2019-01-01,male,30-34,375
overall,2019-01-01,female,30-34,28493
supply,2019-01-01,both,30-34,4626
supply,2019-01-01,male,30-34,4251
supply,2019-01-01,female,30-34,375
posses,2019-01-01,both,30-34,11463
posses,2019-01-01,male,30-34,10749
posses,2019-01-01,female,30-34,714
urine_positive,2019-01-01,both,30-34,15390
urine_positive,2019-01-01,male,30-34,14542
urine_positive,2019-01-01,female,30-34,848
overall,2019-01-01,both,35-40,11694
overall,2019-01-01,male,35-40,345
overall,2019-01-01,female,35-40,11349
supply,2019-01-01,both,35-40,5314
supply,2019-01-01,male,35-40,4969
supply,2019-01-01,female,35-40,345
posses,2019-01-01,both,35-40,11349
posses,2019-01-01,male,35-40,10756
posses,2019-01-01,female,35-40,593
urine_positive,2019-01-01,both,35-40,15488
urine_positive,2019-01-01,male,35-40,14795
urine_positive,2019-01-01,female,35-40,693
overall,2019-01-01,both,>41,41552
overall,2019-01-01,male,>41,336
overall,2019-01-01,female,>41,41216
supply,2019-01-01,both,>41,7651
supply,2019-01-01,male,>41,7315
supply,2019-01-01,female,>41,336
posses,2019-01-01,both,>41,14379
posses,2019-01-01,male,>41,13874
posses,2019-01-01,female,>41,505
urine_positive,2019-01-01,both,>41,16058
urine_positive,2019-01-01,male,>41,15593
urine_positive,2019-01-01,female,>41,465
overall,2019-01-01,both,no_information,25938
overall,2019-01-01,male,no_information,29
overall,2019-01-01,female,no_information,25909
supply,2019-01-01,both,no_information,157
supply,2019-01-01,male,no_information,128
supply,2019-01-01,female,no_information,29
posses,2019-01-01,both,no_information,360
posses,2019-01-01,male,no_information,317
posses,2019-01-01,female,no_information,43
urine_positive,2019-01-01,both,no_information,551
urine_positive,2019-01-01,male,no_information,512
urine_positive,2019-01-01,female,no_information,39
overall,2020-01-01,both,all,46895
overall,2020-01-01,male,all,1558
overall,2020-01-01,female,all,45337
supply,2020-01-01,both,all,17745
supply,2020-01-01,male,all,16187
supply,2020-01-01,female,all,1558
posses,2020-01-01,both,all,45337
posses,2020-01-01,male,all,42635
posses,2020-01-01,female,all,2702
urine_positive,2020-01-01,both,all,55356
urine_positive,2020-01-01,male,all,52173
urine_positive,2020-01-01,female,all,3183
overall,2020-01-01,both,<13,54
overall,2020-01-01,male,<13,12
overall,2020-01-01,female,<13,42
supply,2020-01-01,both,<13,35
supply,2020-01-01,male,<13,23
supply,2020-01-01,female,<13,12
posses,2020-01-01,both,<13,42
posses,2020-01-01,male,<13,38
posses,2020-01-01,female,<13,4
urine_positive,2020-01-01,both,<13,37
urine_positive,2020-01-01,male,<13,30
urine_positive,2020-01-01,female,<13,7
overall,2020-01-01,both,14-18,151092
overall,2020-01-01,male,14-18,124
overall,2020-01-01,female,14-18,150968
supply,2020-01-01,both,14-18,650
supply,2020-01-01,male,14-18,526
supply,2020-01-01,female,14-18,124
posses,2020-01-01,both,14-18,2733
posses,2020-01-01,male,14-18,2445
posses,2020-01-01,female,14-18,288
urine_positive,2020-01-01,both,14-18,2681
urine_positive,2020-01-01,male,14-18,2384
urine_positive,2020-01-01,female,14-18,297
overall,2020-01-01,both,19-24,12065
overall,2020-01-01,male,19-24,426
overall,2020-01-01,female,19-24,11639
supply,2020-01-01,both,19-24,3686
supply,2020-01-01,male,19-24,3260
supply,2020-01-01,female,19-24,426
posses,2020-01-01,both,19-24,11560
posses,2020-01-01,male,19-24,10879
posses,2020-01-01,female,19-24,681
urine_positive,2020-01-01,both,19-24,11945
urine_positive,2020-01-01,male,19-24,11072
urine_positive,2020-01-01,female,19-24,873
overall,2020-01-01,both,25-29,13614
overall,2020-01-01,male,25-29,419
overall,2020-01-01,female,25-29,13195
supply,2020-01-01,both,25-29,4017
supply,2020-01-01,male,25-29,3598
supply,2020-01-01,female,25-29,419
posses,2020-01-01,both,25-29,10139
posses,2020-01-01,male,25-29,9490
posses,2020-01-01,female,25-29,649
urine_positive,2020-01-01,both,25-29,12321
urine_positive,2020-01-01,male,25-29,11537
urine_positive,2020-01-01,female,25-29,784
overall,2020-01-01,both,30-34,10031
overall,2020-01-01,male,30-34,362
overall,2020-01-01,female,30-34,9669
supply,2020-01-01,both,30-34,4027
supply,2020-01-01,male,30-34,3665
supply,2020-01-01,female,30-34,362
posses,2020-01-01,both,30-34,9669
posses,2020-01-01,male,30-34,9045
posses,2020-01-01,female,30-34,624
urine_positive,2020-01-01,both,30-34,12454
urine_positive,2020-01-01,male,30-34,11730
urine_positive,2020-01-01,female,30-34,724
overall,2020-01-01,both,35-40,36892
overall,2020-01-01,male,35-40,342
overall,2020-01-01,female,35-40,36550
supply,2020-01-01,both,35-40,4552
supply,2020-01-01,male,35-40,4210
supply,2020-01-01,female,35-40,342
posses,2020-01-01,both,35-40,9697
posses,2020-01-01,male,35-40,9174
posses,2020-01-01,female,35-40,523
urine_positive,2020-01-01,both,35-40,12861
urine_positive,2020-01-01,male,35-40,12242
urine_positive,2020-01-01,female,35-40,619
overall,2020-01-01,both,>41,34852
overall,2020-01-01,male,>41,253
overall,2020-01-01,female,>41,34599
supply,2020-01-01,both,>41,6395
supply,2020-01-01,male,>41,6142
supply,2020-01-01,female,>41,253
posses,2020-01-01,both,>41,12041
posses,2020-01-01,male,>41,11589
posses,2020-01-01,female,>41,452
urine_positive,2020-01-01,both,>41,13508
urine_positive,2020-01-01,male,>41,13121
urine_positive,2020-01-01,female,>41,387
overall,2020-01-01,both,no_information,25323
overall,2020-01-01,male,no_information,29
overall,2020-01-01,female,no_information,25294
supply,2020-01-01,both,no_information,174
supply,2020-01-01,male,no_information,145
supply,2020-01-01,female,no_information,29
posses,2020-01-01,both,no_information,390
posses,2020-01-01,male,no_information,353
posses,2020-01-01,female,no_information,37
urine_positive,2020-01-01,both,no_information,431
urine_positive,2020-01-01,male,no_information,354
urine_positive,2020-01-01,female,no_information,77
overall,2021-01-01,both,all,44787
overall,2021-01-01,male,all,1523
overall,2021-01-01,female,all,43264
supply,2021-01-01,both,all,16784
supply,2021-01-01,male,all,15261
supply,2021-01-01,female,all,1523
posses,2021-01-01,both,all,43264
posses,2021-01-01,male,all,40721
posses,2021-01-01,female,all,2543
urine_positive,2021-01-01,both,all,52393
urine_positive,2021-01-01,male,all,49190
urine_positive,2021-01-01,female,all,3203
overall,2021-01-01,both,<13,14
overall,2021-01-01,male,<13,3
overall,2021-01-01,female,<13,11
supply,2021-01-01,both,<13,13
supply,2021-01-01,male,<13,10
supply,2021-01-01,female,<13,3
posses,2021-01-01,both,<13,11
posses,2021-01-01,male,<13,9
posses,2021-01-01,female,<13,2
urine_positive,2021-01-01,both,<13,12
