date,state,sex,prisoners
1/1/2017,Malaysia,both,120048
1/1/2018,Malaysia,both,115488
1/1/2019,Malaysia,both,136145
1/1/2020,Malaysia,both,100053
1/1/2021,Malaysia,both,82269
1/1/2022,Malaysia,both,101809
1/1/2017,Johor,both,11589
1/1/2018,Johor,both,11902
1/1/2019,Johor,both,14312
1/1/2020,Johor,both,12158
1/1/2021,Johor,both,8616
1/1/2022,Johor,both,8635
1/1/2017,Kedah,both,7045
1/1/2018,Kedah,both,6968
1/1/2019,Kedah,both,7507
1/1/2020,Kedah,both,6646
1/1/2021,Kedah,both,6855
1/1/2022,Kedah,both,8980
1/1/2017,Kelantan,both,7066
1/1/2018,Kelantan,both,6994
1/1/2019,Kelantan,both,7269
1/1/2020,Kelantan,both,6898
1/1/2021,Kelantan,both,6025
1/1/2022,Kelantan,both,7986
1/1/2017,Melaka,both,6000
1/1/2018,Melaka,both,5722
1/1/2019,Melaka,both,7284
1/1/2020,Melaka,both,6025
1/1/2021,Melaka,both,3131
1/1/2022,Melaka,both,5281
1/1/2017,Negeri Sembilan,both,5115
1/1/2018,Negeri Sembilan,both,4086
1/1/2019,Negeri Sembilan,both,4828
1/1/2020,Negeri Sembilan,both,3399
1/1/2021,Negeri Sembilan,both,2499
1/1/2022,Negeri Sembilan,both,2722
1/1/2017,Pahang,both,7317
1/1/2018,Pahang,both,7556
1/1/2019,Pahang,both,7852
1/1/2020,Pahang,both,6289
1/1/2021,Pahang,both,4234
1/1/2022,Pahang,both,5977
1/1/2017,Perak,both,8565
1/1/2018,Perak,both,7340
1/1/2019,Perak,both,9878
1/1/2020,Perak,both,8558
1/1/2021,Perak,both,6714
1/1/2022,Perak,both,8276
1/1/2017,Pulau Pinang,both,8324
1/1/2018,Pulau Pinang,both,7933
1/1/2019,Pulau Pinang,both,10064
1/1/2020,Pulau Pinang,both,5312
1/1/2021,Pulau Pinang,both,4727
1/1/2022,Pulau Pinang,both,6699
1/1/2017,Sabah,both,12205
1/1/2018,Sabah,both,13215
1/1/2019,Sabah,both,15699
1/1/2020,Sabah,both,8498
1/1/2021,Sabah,both,5869
1/1/2022,Sabah,both,8412
1/1/2017,Sarawak,both,4284
1/1/2018,Sarawak,both,3850
1/1/2019,Sarawak,both,5440
1/1/2020,Sarawak,both,5943
1/1/2021,Sarawak,both,4588
1/1/2022,Sarawak,both,6089
1/1/2017,Selangor,both,37862
1/1/2018,Selangor,both,34955
1/1/2019,Selangor,both,40885
1/1/2020,Selangor,both,25776
1/1/2021,Selangor,both,24927
1/1/2022,Selangor,both,27765
1/1/2017,Terengganu,both,4676
1/1/2018,Terengganu,both,4967
1/1/2019,Terengganu,both,5127
1/1/2020,Terengganu,both,4551
1/1/2021,Terengganu,both,4084
1/1/2022,Terengganu,both,4987
